county_code,subcounty_name,kind
001,Changamwe,HEALTH_ADMIN
001,Jomvu,HEALTH_ADMIN
001,Kisauni,HEALTH_ADMIN
001,Likoni,HEALTH_ADMIN
001,Mvita,HEALTH_ADMIN
001,Nyali,HEALTH_ADMIN
002,Kinango,HEALTH_ADMIN
002,Lunga Lunga,HEALTH_ADMIN
002,Matuga,HEALTH_ADMIN
002,Msambweni,HEALTH_ADMIN
003,Ganze,HEALTH_ADMIN
003,Kaloleni,HEALTH_ADMIN
003,Kilifi North,HEALTH_ADMIN
003,Kilifi South,HEALTH_ADMIN
003,Magarini,HEALTH_ADMIN
003,Malindi,HEALTH_ADMIN
003,Rabai,HEALTH_ADMIN
004,Bura,HEALTH_ADMIN
004,Galole,HEALTH_ADMIN
004,Garsen,HEALTH_ADMIN
005,Lamu East,HEALTH_ADMIN
005,Lamu West,HEALTH_ADMIN
006,Mwatate,HEALTH_ADMIN
006,Taveta,HEALTH_ADMIN
006,Voi,HEALTH_ADMIN
006,Wundanyi,HEALTH_ADMIN
007,Balambala,HEALTH_ADMIN
007,Dadaab,HEALTH_ADMIN
007,Fafi,HEALTH_ADMIN
007,Garissa Township,HEALTH_ADMIN
007,Hulugho,HEALTH_ADMIN
007,Ijara,HEALTH_ADMIN
007,Lagdera,HEALTH_ADMIN
008,Eldas,HEALTH_ADMIN
008,Tarbaj,HEALTH_ADMIN
008,Wajir East,HEALTH_ADMIN
008,Wajir North,HEALTH_ADMIN
008,Wajir South,HEALTH_ADMIN
008,Wajir West,HEALTH_ADMIN
009,Banissa,HEALTH_ADMIN
009,Lafey,HEALTH_ADMIN
009,Mandera East,HEALTH_ADMIN
009,Mandera North,HEALTH_ADMIN
009,Mandera South,HEALTH_ADMIN
009,Mandera West,HEALTH_ADMIN
010,Laisamis,HEALTH_ADMIN
010,Moyale,HEALTH_ADMIN
010,North Horr,HEALTH_ADMIN
010,Saku,HEALTH_ADMIN
011,Isiolo North,HEALTH_ADMIN
011,Isiolo South,HEALTH_ADMIN
012,Buuri,HEALTH_ADMIN
012,Igembe Central,HEALTH_ADMIN
012,Igembe North,HEALTH_ADMIN
012,Igembe South,HEALTH_ADMIN
012,Imenti Central,HEALTH_ADMIN
012,Imenti North,HEALTH_ADMIN
012,Imenti South,HEALTH_ADMIN
012,Tigania East,HEALTH_ADMIN
012,Tigania West,HEALTH_ADMIN
013,Chuka Igambang'ombe,HEALTH_ADMIN
013,Maara,HEALTH_ADMIN
013,Tharaka,HEALTH_ADMIN
014,Manyatta,HEALTH_ADMIN
014,Mbeere North,HEALTH_ADMIN
